id,name,category,currentStock,minStock,maxStock,unitPrice,supplier,lastUpdated,location,barcode
1,노트북 컴퓨터,전자제품,15,10,50,1200000,삼성전자,2025-01-30,A-01-01,8801234567890
2,무선 마우스,전자제품,5,20,100,35000,로지텍,2025-01-29,A-01-02,8801234567891
3,사무용 의자,가구,25,15,40,180000,한샘,2025-01-28,B-02-01,8801234567892
4,A4 용지,사무용품,2,10,50,4500,한국제지,2025-01-30,C-03-01,8801234567893
5,모니터,전자제품,8,5,30,350000,LG전자,2025-01-29,A-01-03,8801234567894
6,키보드,전자제품,12,15,80,85000,로지텍,2025-01-28,A-01-04,8801234567895
7,책상,가구,6,8,25,250000,한샘,2025-01-27,B-02-02,8801234567896
8,프린터,전자제품,3,5,15,450000,HP,2025-01-30,A-02-01,8801234567897
9,볼펜,사무용품,45,30,200,1200,모나미,2025-01-29,C-03-02,8801234567898
10,파일박스,사무용품,18,20,100,8500,아이리스,2025-01-28,C-03-03,8801234567899
11,스피커,전자제품,4,10,25,120000,JBL,2025-01-27,A-01-05,8801234567900
12,화이트보드,사무용품,7,5,20,65000,자석칠판,2025-01-30,C-04-01,8801234567901
13,태블릿,전자제품,9,8,30,800000,애플,2025-01-29,A-01-06,8801234567902
14,서랍장,가구,11,12,35,150000,이케아,2025-01-28,B-02-03,8801234567903
15,스테이플러,사무용품,22,15,60,12000,맥스,2025-01-27,C-03-04,8801234567904
