id,productName,type,quantity,date,reason,employee
1,노트북 컴퓨터,in,10,2025-01-30,신규 입고,김재고
2,무선 마우스,out,15,2025-01-29,부서 배정,이출고
3,A4 용지,out,8,2025-01-28,사무실 사용,박사무
4,모니터,in,5,2025-01-30,추가 구매,김재고
5,키보드,out,3,2025-01-29,신입사원 배정,이출고
6,책상,in,2,2025-01-28,사무실 확장,김재고
7,프린터,out,1,2025-01-30,회계팀 요청,박사무
8,볼펜,in,50,2025-01-29,정기 보충,김재고
9,파일박스,out,5,2025-01-28,서류 정리용,이출고
10,스피커,in,3,2025-01-27,회의실 설치,김재고
11,화이트보드,out,2,2025-01-30,교육실 설치,박사무
12,태블릿,in,4,2025-01-29,영업팀 요청,김재고
13,서랍장,out,1,2025-01-28,개인 사무용,이출고
14,스테이플러,in,10,2025-01-27,사무용품 보충,김재고
15,노트북 컴퓨터,out,2,2025-01-26,출장용,박사무
